Course week,Week Info,Date,Day,Info
1,Introduction week 1,2022-05-02,Mon,Introduction day / Tools of our stack
1,Introduction week 1,2022-05-03,Tue,Languages in our stack
1,Introduction week 1,2022-05-04,Wed,Git and C#
1,Introduction week 1,2022-05-05,Thu,Razor pages
1,Introduction week 1,2022-05-06,Fri,Storing data in files
2,Introduction week 2,2022-05-09,Mon,Visual Studio introduction
2,Introduction week 2,2022-05-10,Tue,Testing in .NET
2,Introduction week 2,2022-05-11,Wed,Calling APIs
2,Introduction week 2,2022-05-12,Thu,AlvaLabs
2,Introduction week 2,2022-05-13,Fri,Demo & Retro
3,C# basics,2022-05-16,Mon,Introduction to C#
3,C# basics,2022-05-17,Tue,Introduction to OOP
3,C# basics,2022-05-18,Wed,Collections and Generics
3,C# basics,2022-05-19,Thu,LINQ and Async
3,C# basics,2022-05-20,Fri,Demo & Retro
4,"Advanced C#, OOP and SOLID",2022-05-23,Mon,Introduction to SOLID and DI
4,"Advanced C#, OOP and SOLID",2022-05-24,Tue,Patterns and the repository pattern
4,"Advanced C#, OOP and SOLID",2022-05-25,Wed,Functional programming in C#
4,"Advanced C#, OOP and SOLID",2022-05-26,Thu,Reflections
4,"Advanced C#, OOP and SOLID",2022-05-27,Fri,Demo & Retro
5,Web Applications with ASP.NET,2022-05-30,Mon,Introduction to ASP.NET WebAPI
5,Web Applications with ASP.NET,2022-05-31,Tue,Testing WebAPI
5,Web Applications with ASP.NET,2022-06-01,Wed,REST
5,Web Applications with ASP.NET,2022-06-02,Thu,ASP.NET MVC
5,Web Applications with ASP.NET,2022-06-03,Fri,Demo & Retro
6,Styling - HTML5 and CSS,2022-06-06,Mon,Preparations for on-site tests
6,Styling - HTML5 and CSS,2022-06-07,Tue,HTML & CSS intro
6,Styling - HTML5 and CSS,2022-06-08,Wed,"Flexbox, Grid and CSS in depth"
6,Styling - HTML5 and CSS,2022-06-09,Thu,Mobile-first & animation
6,Styling - HTML5 and CSS,2022-06-10,Fri,On-site tests
7,UX and JavaScript,2022-06-13,Mon,UX day 1
7,UX and JavaScript,2022-06-14,Tue,UX day 2
7,UX and JavaScript,2022-06-15,Wed,Introduction to JavaScript and Node
7,UX and JavaScript,2022-06-16,Thu,"ES6, FP and Array methods"
7,UX and JavaScript,2022-06-17,Fri,Demo & Retro
8,Career days and Async JavaScript,2022-06-20,Mon,Career Day - 1
8,Career days and Async JavaScript,2022-06-21,Tue,Career Day - 2
8,Career days and Async JavaScript,2022-06-22,Wed,Async I - Callbacks and Promises
8,Career days and Async JavaScript,2022-06-23,Thu,Async II - Promises and async/await
8,Career days and Async JavaScript,2022-06-24,Fri,Free - reflect on the asynchronous material
9,Intro to React,2022-06-27,Mon,React components
9,Intro to React,2022-06-28,Tue,React testing
9,Intro to React,2022-06-29,Wed,React hooks
9,Intro to React,2022-06-30,Thu,React router
9,Intro to React,2022-07-01,Fri,.NET and React
10,Databases access,2022-07-04,Mon,Introduction to SQL Server Access
10,Databases access,2022-07-05,Tue,Entity Framework
10,Databases access,2022-07-06,Wed,EF and Web applications
10,Databases access,2022-07-07,Thu,Personal Hackday
10,Databases access,2022-07-08,Fri,Personal Hackday Demo
11,Azure,2022-07-11,Mon,Introduction to Azure
11,Azure,2022-07-12,Tue,Storage in Azure
11,Azure,2022-07-13,Wed,Azure functions and serverless
11,Azure,2022-07-14,Thu,Authentication & Authorization
11,Azure,2022-07-15,Fri,Demo & Retro
12,Project week 1,2022-07-18,Mon,Day 1
12,Project week 1,2022-07-19,Tue,Day 2
12,Project week 1,2022-07-20,Wed,Day 3
12,Project week 1,2022-07-21,Thu,Day 4
12,Project week 1,2022-07-22,Fri,Sprint demo
13,Project week 2,2022-07-25,Mon,Day 1
13,Project week 2,2022-07-26,Tue,Day 2
13,Project week 2,2022-07-27,Wed,Day 3
13,Project week 2,2022-07-28,Thu,Day 4
13,Project week 2,2022-07-29,Fri,Sprint demo
